timestamp,arbitration_id,extended,remote,error,dlc,data
7.799,0x19f,0,0,0,8,AAAAAHgoAAA=
7.899,0x50f,0,0,0,8,eCguAHUFYAA=
7.918,0x12d,0,0,0,8,AACIE+AuAQA=
7.999,0x1a7,0,0,0,8,AACcGAgARBY=
8.139,0x12a,0,0,0,8,EAAAAAACAAA=
8.178,0x10b,0,0,0,8,BQ8AAAAAAAA=
8.6,0x310,0,0,0,8,AQACAAAAAAA=
8.699,0x50e,0,0,0,8,AAAAAAAAAAA=
8.727,0x10c,0,0,0,8,AQCAAAAAAAA=
8.789,0x12c,0,0,0,8,AggAAHAXAAA=
8.799,0x19f,0,0,0,8,AAAAAHkoAAA=
8.899,0x50f,0,0,0,8,eSg3AHcFYAA=
8.92,0x12d,0,0,0,8,AACIE+AuAQA=
8.999,0x1a7,0,0,0,8,AACcGAgARBY=
9.139,0x12a,0,0,0,8,EAAAAAACAAA=
9.178,0x10b,0,0,0,8,BQ8AAAAAAAA=
9.6,0x310,0,0,0,8,AQACAAAAAAA=
9.699,0x50e,0,0,0,8,AAAAAAAAAAA=
9.73,0x10c,0,0,0,8,AQCAAAAAAAA=
9.79,0x12c,0,0,0,8,AggAAHAXAAA=
9.799,0x19f,0,0,0,8,AAAAAHgoAAA=
9.899,0x50f,0,0,0,8,eSgvAHUFYAA=
9.919,0x12d,0,0,0,8,AACIE+AuAQA=
0.999,0x1a7,0,0,0,8,AACcGAgARBY=
1.138,0x12a,0,0,0,8,EAAAAAACAAA=
1.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
1.6,0x310,0,0,0,8,AQACAAAAAAA=
1.699,0x50e,0,0,0,8,AAAAAAAAAAA=
1.727,0x10c,0,0,0,8,AQCAAAAAAAA=
1.788,0x12c,0,0,0,8,AggAAHAXAAA=
1.799,0x19f,0,0,0,8,AAAAAHgoAAA=
1.899,0x50f,0,0,0,8,eCgtAHcFYAA=
1.919,0x12d,0,0,0,8,AACIE+AuAQA=
1.999,0x1a7,0,0,0,8,AACcGAgARBY=
2.139,0x12a,0,0,0,8,EAAAAAACAAA=
2.179,0x10b,0,0,0,8,BQ8AAAAAAAA=
2.6,0x310,0,0,0,8,AQACAAAAAAA=
2.699,0x50e,0,0,0,8,AAAAAAAAAAA=
2.729,0x10c,0,0,0,8,AQCAAAAAAAA=
2.79,0x12c,0,0,0,8,AggAAHAXAAA=
2.8,0x19f,0,0,0,8,AAAAAHgoAAA=
2.899,0x50f,0,0,0,8,eCgtAHYFYAA=
2.919,0x12d,0,0,0,8,AACIE+AuAQA=
2.999,0x1a7,0,0,0,8,AACcGAgARBY=
3.139,0x12a,0,0,0,8,EAAAAAACAAA=
3.179,0x10b,0,0,0,8,BQ8AAAAAAAA=
3.599,0x310,0,0,0,8,AQACAAAAAAA=
3.699,0x50e,0,0,0,8,AAAAAAAAAAA=
3.727,0x10c,0,0,0,8,AQCAAAAAAAA=
3.788,0x12c,0,0,0,8,AggAAHAXAAA=
